NO,Administrative district,Riverside Park,Location,Type,Remark,Latitude,Longitude,Lat_TWD97,Long_TWD97
63,文山區,道南左岸河濱公園,木柵動物園旁,景觀,,24.999221,121.5802,2765816.618,308566.4113
64,文山區,道南左岸河濱公園,木柵動物園旁,景觀,,24.999225,121.580133,2765817.032,308559.6462
65,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,24.999231,121.58008,2765817.674,308554.2933
66,文山區,道南右岸河濱公園,恆光橋旁,景觀,,24.981157,121.567129,2763810.173,307255.3407
67,文山區,道南右岸河濱公園,恆光橋旁,景觀,,24.981116,121.567136,2763805.634,307256.0664
68,文山區,道南右岸河濱公園,恆光橋旁,景觀,,24.981075,121.567147,2763801.098,307257.1959
69,中正區,古亭河濱公園,永福橋停車場旁,景觀,,25.01442693,121.5260813,2767478.61,303096.93
70,中正區,古亭河濱公園,永福橋停車場旁,景觀,,25.01445213,121.5260646,2767481.4,303095.24
71,中正區,古亭河濱公園,永福橋停車場旁,景觀,,25.01447435,121.5260507,2767483.85,303093.82
72,中正區,古亭河濱公園,永福橋停車場旁,景觀,,25.01449658,121.5260312,2767486.31,303091.85
73,中正區,古亭河濱公園,永福橋停車場旁,景觀,,25.01451324,121.5260229,2767488.15,303091
74,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,25.019374,121.50437,2768018.24,300903.55
75,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,25.019402,121.504342,2768021.33,300900.72
76,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,25.019419,121.504324,2768023.21,300898.89
77,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,25.019429,121.504305,2768024.31,300896.97
78,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,25.019466,121.504292,2768028.4,300895.64
79,萬華區,華中河濱公園,遊憩區旁,景觀,,25.01804,121.49299,2767866.254,299755.8969
80,萬華區,華中河濱公園,遊憩區旁,景觀,,25.01798,121.493019,2767859.618,299758.4969
81,萬華區,華中河濱公園,遊憩區旁,景觀,,25.017921,121.493053,2767853.096,299761.9523
82,萬華區,華中河濱公園,遊憩區旁,景觀,,25.017856,121.493091,2767845.91,299765.8137
83,萬華區,華中河濱公園,遊憩區旁,景觀,,25.017141,121.492325,2767766.432,299688.7908
84,萬華區,華中河濱公園,遊憩區旁,景觀,,25.017189,121.492303,2767771.741,299686.5511
85,萬華區,華中河濱公園,遊憩區旁,景觀,,25.017217,121.492281,2767774.834,299684.3194
86,中山區,大佳河濱公園,網球場旁,景觀,,25.075181,121.530588,2774209.844,303525.417
87,中山區,大佳河濱公園,網球場旁,景觀,,25.075134,121.53061,2774204.647,303527.6568
88,中山區,大佳河濱公園,網球場旁,景觀,,25.075097,121.530629,2774200.556,303529.5896
89,士林區,社子島沿線(待命名),社子大橋旁,景觀,,25.111317,121.494725,2778198.76,299892.8608
90,士林區,社子島沿線(待命名),社子大橋旁,景觀,,25.111277,121.494755,2778194.34,299895.9026
91,士林區,社子島沿線(待命名),社子大橋旁,景觀,,25.111241,121.49478,2778190.362,299898.4385
92,北投區,關渡水岸公園,關渡宮旁,固定式,,25.117463,121.463209,2778868.25,296712.1
93,內湖區,成美右岸河濱公園,潭美街與新明路536巷交叉口,固定式,,25.052996,121.576508,2771771.46,308168.37
94,中正區,古亭河濱公園,客家園區鋼橋下,固定式,,25.02001569,121.5225596,2768096.28,302739.1
95,內湖區,大溝溪親水公園,大湖街131巷,其他,,25.090563,121.596214,2775941.25,310138.36
96,內湖區,大溝溪親水公園,大湖街131巷,其他,,25.090563,121.596214,2775941.25,310138.36
97,內湖區,大溝溪親水公園,大湖街131巷,其他,,25.090563,121.596214,2775941.25,310138.36
98,內湖區,金瑞治水園區,內湖路三段,其他,,25.091193,121.580837,2776004.28,308586.99
99,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,25.022832,121.514782,2768405.202,301952.9381
100,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,25.0228,121.514771,2768401.653,301951.8414
101,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,25.022772,121.514769,2768398.551,301951.6513
102,內湖區,成美右岸河濱公園,週美活動廣場旁,景觀,,25.054533,121.581967,2771944.07,308718.45
103,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,25.054364,121.582472,2771925.57,308769.49
104,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,25.054364,121.582472,2771925.57,308769.49
105,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,25.054364,121.582472,2771925.57,308769.49
106,中山區,大佳河濱公園,兒童遊戲區,景觀,,25.074556,121.535899,2774142.73,304061.47
107,中山區,大佳河濱公園,兒童遊戲區,景觀,,25.074536,121.5359224,2774140.52,304063.84
108,中山區,迎風河濱公園,溜冰場附近,景觀,,25.0738,121.54857,2774064.12,305340.09
109,中山區,迎風河濱公園,溜冰場附近,景觀,,25.0738,121.54857,2774064.12,305340.09
110,中山區,迎風河濱公園,溜冰場附近,景觀,,25.0738,121.54857,2774064.12,305340.09
111,北投區,河雙21河濱公園,兒童遊戲區,景觀,,25.099445,121.499073,2776885.36,300336.22
112,北投區,河雙21河濱公園,兒童遊戲區,景觀,,25.099445,121.499073,2776885.36,300336.22
113,北投區,河雙21河濱公園,兒童遊戲區,景觀,,25.099445,121.499073,2776885.36,300336.22
114,文山區,溪洲河濱公園,溪洲疏散門,景觀,,24.998532,121.535089,2765721.57,304013.04
115,文山區,溪洲河濱公園,溪洲疏散門,景觀,,24.998532,121.535089,2765721.57,304013.04
116,文山區,溪洲河濱公園,溪洲疏散門,景觀,,24.998532,121.535089,2765721.57,304013.04
