Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 15:45:48,https://doge.gov.taipei/News_Content.aspx?n=544FEC9338F86B55&sms=87415A8B9CE81B16&s=8D0404C0917DB68C,請問市府對民眾檢舉公務員貪瀆不法行為有何獎勵、保護措施？," 一、依據行政院訂頒「獎勵保護檢舉貪污瀆職辦法」規定，凡舉發公務員貪瀆不法經法院判決有罪者，法務部將視法院判決情形發給檢舉獎金，金額最高可達新臺幣1,000萬元。二、為加強端正政風並鼓勵民眾勇於檢舉本府公務員貪污瀆職不法案件，本府修正發布「臺北市政府檢舉貪污瀆職或不法案件獎勵要點」並自109年3月1日生效，為使給獎金額符合法院論罪科刑比例，得審酌個案經緩刑宣告或犯罪所得利益低於５萬元，於所列額度二分之一內酌發獎金；犯罪行為人自首，並檢舉他人共犯貪污瀆職或不法案件者，得例外給與獎金。三、民眾檢舉本府公務員涉犯貪污瀆職或不法犯罪案件，經檢察官起訴時，可給每案新臺幣3萬元獎金 ；經檢察官緩起訴處分確定者，給與5,000元獎金 。若經第一審法院判決有罪者，可先依給獎標準發給獎金二分之一，並視法院判決情形發給其餘獎金，最高可達新臺幣200萬元。四、受理檢舉之政風單位對於檢舉人之姓名、年齡、住所或居所、檢舉書、筆錄或其他相關資料，均嚴加保密。 ",2726,112-12-18 09:58,113-01-03 08:37,臺北市政府政風處
2024-01-11 15:45:50,https://doge.gov.taipei/News_Content.aspx?n=544FEC9338F86B55&sms=87415A8B9CE81B16&s=A548C91C1C664925,請問我該如何查閱市府公務員財產申報資料？, 請您先到「臺北市政府-市民服務大平臺」網站以網路申辦方式或至本府各政風機構現場提出查閱申請。 ,11748,112-05-15 15:08,113-01-03 08:37,臺北市政府政風處
